T+00:03:04.487 | CAMERA | Image captured: 1024x768, 43672 bytes
T+00:03:06.071 | CAMERA | Image captured: 1024x768, 43605 bytes
T+00:03:08.658 | CAMERA | Image captured: 1024x768, 43583 bytes
T+00:03:10.272 | CAMERA | Image captured: 1024x768, 43443 bytes
T+00:03:12.359 | CAMERA | Image captured: 1024x768, 43511 bytes
T+00:03:14.484 | CAMERA | Image captured: 1024x768, 43457 bytes
T+00:03:17.059 | CAMERA | Image captured: 1024x768, 43220 bytes
T+00:03:19.145 | CAMERA | Image captured: 1024x768, 43144 bytes
T+00:03:21.236 | CAMERA | Image captured: 1024x768, 42857 bytes
T+00:03:23.411 | CAMERA | Image captured: 1024x768, 43283 bytes
T+00:03:25.488 | CAMERA | Image captured: 1024x768, 42889 bytes
T+00:03:29.584 | CAMERA | Image captured: 1024x768, 43129 bytes
T+00:07:02.624 | CAMERA | Image captured: 1024x768, 43018 bytes
T+00:07:04.703 | CAMERA | Image captured: 1024x768, 43328 bytes
T+00:07:06.792 | CAMERA | Image captured: 1024x768, 66710 bytes
T+00:07:13.394 | CAMERA | Image captured: 1024x768, 33093 bytes
T+00:07:16.969 | CAMERA | Image captured: 1024x768, 36383 bytes
T+00:07:20.056 | CAMERA | Image captured: 1024x768, 29822 bytes
T+00:08:04.714 | CAMERA | Image captured: 1024x768, 45728 bytes
T+00:08:07.298 | CAMERA | Image captured: 1024x768, 32774 bytes
T+00:08:09.409 | CAMERA | Image captured: 1024x768, 41216 bytes
T+00:08:19.009 | CAMERA | Image captured: 1024x768, 39203 bytes
T+00:08:44.643 | CAMERA | Image captured: 1024x768, 42571 bytes
T+00:08:47.242 | CAMERA | Image captured: 1024x768, 45548 bytes
T+00:08:49.848 | CAMERA | Image captured: 1024x768, 42750 bytes
T+00:08:54.432 | CAMERA | Image captured: 1024x768, 42231 bytes
T+00:08:56.520 | CAMERA | Image captured: 1024x768, 42777 bytes
T+00:08:58.601 | CAMERA | Image captured: 1024x768, 38551 bytes
T+00:09:01.685 | CAMERA | Image captured: 1024x768, 38108 bytes
T+00:09:32.837 | CAMERA | Image captured: 1024x768, 38839 bytes
T+00:09:34.915 | CAMERA | Image captured: 1024x768, 39359 bytes
T+00:09:37.006 | CAMERA | Image captured: 1024x768, 40239 bytes
T+00:09:39.097 | CAMERA | Image captured: 1024x768, 40837 bytes
T+00:09:43.267 | CAMERA | Image captured: 1024x768, 37818 bytes
T+00:09:47.372 | CAMERA | Image captured: 1024x768, 38391 bytes
T+00:09:52.074 | CAMERA | Image captured: 1024x768, 34953 bytes
T+00:09:55.656 | CAMERA | Image captured: 1024x768, 33448 bytes
T+00:09:59.241 | CAMERA | Image captured: 1024x768, 36109 bytes
