id_prueba,timestamp,modo,tipo_evento,escenario,distancia_m,iluminacion,objeto_verdad,objeto_predicho,confianza,t_total_ms,latencia,acierto,notas
2508,2026-01-02T01:13:29.092033,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.4,,,saved temp image at /data/user/0/com.prototype.artificial_vision/cache/ocr_1767334409088.png
2509,2026-01-02T01:13:29.095629,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,"running tesseract (psm=11,oem=1)"
2510,2026-01-02T01:13:29.660119,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.6,,,"= | 1a _'- y MÁXIMA"""
2511,2026-01-02T01:13:29.665594,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,cleaned temp file /data/user/0/com.prototype.artificial_vision/cache/ocr_1767334409088.png
2512,2026-01-02T01:13:29.668209,MOBILE,TTS,"2B, 3.5, 3.6",,,,,,00:00.0,,,"= | 1a _'- y MÁXIMA"""
2513,2026-01-02T01:13:29.684831,MOBILE,TTS,"2B, 3.5, 3.6",,,,,,00:00.0,00:01.3,,converted output to speech
2514,2026-01-02T01:13:30.211487,MOBILE,ESP32,"2B, 3.5, 3.6",,,,,,00:00.5,,,starting
2515,2026-01-02T01:13:30.667899,MOBILE,ESP32,"2B, 3.5, 3.6",,,,,,00:00.5,,,finished (42997 bytes)
2516,2026-01-02T01:13:30.670221,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,starting
2517,2026-01-02T01:13:30.671748,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,42997 bytes
2518,2026-01-02T01:13:30.808225,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.1,,,original size: 1024x768
2519,2026-01-02T01:13:30.842089,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,upscaled to: 1024x768
2520,2026-01-02T01:13:31.173886,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.3,,,saved temp image at /data/user/0/com.prototype.artificial_vision/cache/ocr_1767334411169.png
2521,2026-01-02T01:13:31.197839,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,"running tesseract (psm=11,oem=1)"
2522,2026-01-02T01:13:31.770234,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.6,,,". » ! Tﬂw: L OCIDAD MAXIMA ——— ———"""
2523,2026-01-02T01:13:31.779709,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,cleaned temp file /data/user/0/com.prototype.artificial_vision/cache/ocr_1767334411169.png
2524,2026-01-02T01:13:31.781588,MOBILE,TTS,"2B, 3.5, 3.6",,,,,,00:00.0,,,". » ! Tﬂw: L OCIDAD MAXIMA ——— ———"""
2525,2026-01-02T01:13:31.787782,MOBILE,TTS,"2B, 3.5, 3.6",,,,,,00:00.0,00:01.6,,converted output to speech
2526,2026-01-02T01:13:32.378027,MOBILE,ESP32,"2B, 3.5, 3.6",,,,,,00:00.6,,,starting
2527,2026-01-02T01:13:32.771033,MOBILE,ESP32,"2B, 3.5, 3.6",,,,,,00:00.4,,,finished (43158 bytes)
2528,2026-01-02T01:13:32.773514,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,starting
2529,2026-01-02T01:13:32.775840,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,43158 bytes
2530,2026-01-02T01:13:32.910959,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.1,,,original size: 1024x768
2531,2026-01-02T01:13:32.934006,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,upscaled to: 1024x768
2532,2026-01-02T01:13:33.230414,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.3,,,saved temp image at /data/user/0/com.prototype.artificial_vision/cache/ocr_1767334413218.png
2533,2026-01-02T01:13:33.232202,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,"running tesseract (psm=11,oem=1)"
2534,2026-01-02T01:13:33.500625,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.3,,,"— VELOCIDAD MÁXIMA"""
2535,2026-01-02T01:13:33.505562,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,cleaned temp file /data/user/0/com.prototype.artificial_vision/cache/ocr_1767334413218.png
2536,2026-01-02T01:13:33.507884,MOBILE,TTS,"2B, 3.5, 3.6",,,,,,00:00.0,,,"— VELOCIDAD MÁXIMA"""
2537,2026-01-02T01:13:33.520022,MOBILE,TTS,"2B, 3.5, 3.6",,,,,,00:00.0,00:01.1,,converted output to speech
2538,2026-01-02T01:13:34.164981,MOBILE,ESP32,"2B, 3.5, 3.6",,,,,,00:00.6,,,starting
2539,2026-01-02T01:13:34.345749,MOBILE,ESP32,"2B, 3.5, 3.6",,,,,,00:00.2,,,finished (42728 bytes)
2540,2026-01-02T01:13:34.347504,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,starting
2541,2026-01-02T01:13:34.349397,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,42728 bytes
2542,2026-01-02T01:13:34.468491,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.1,,,original size: 1024x768
2543,2026-01-02T01:13:34.509028,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,upscaled to: 1024x768
2544,2026-01-02T01:13:34.807176,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.3,,,saved temp image at /data/user/0/com.prototype.artificial_vision/cache/ocr_1767334414792.png
2545,2026-01-02T01:13:34.809417,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,"running tesseract (psm=11,oem=1)"
2546,2026-01-02T01:13:35.191806,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.4,,,"' - n lay VELOCIDAD MÁXIMA"""
2547,2026-01-02T01:13:35.197380,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,cleaned temp file /data/user/0/com.prototype.artificial_vision/cache/ocr_1767334414792.png
2548,2026-01-02T01:13:35.209169,MOBILE,TTS,"2B, 3.5, 3.6",,,,,,00:00.0,,,"' - n lay VELOCIDAD MÁXIMA"""
2549,2026-01-02T01:13:35.216704,MOBILE,TTS,"2B, 3.5, 3.6",,,,,,00:00.0,00:01.1,,converted output to speech
2550,2026-01-02T01:13:35.774707,MOBILE,ESP32,"2B, 3.5, 3.6",,,,,,00:00.6,,,starting
2551,2026-01-02T01:13:35.937991,MOBILE,ESP32,"2B, 3.5, 3.6",,,,,,00:00.2,,,finished (43299 bytes)
2552,2026-01-02T01:13:35.941586,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,starting
2553,2026-01-02T01:13:35.973005,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,43299 bytes
2554,2026-01-02T01:13:36.093200,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.1,,,original size: 1024x768
2555,2026-01-02T01:13:36.108895,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,upscaled to: 1024x768
2556,2026-01-02T01:13:36.405082,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.3,,,saved temp image at /data/user/0/com.prototype.artificial_vision/cache/ocr_1767334416400.png
2557,2026-01-02T01:13:36.418951,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,"running tesseract (psm=11,oem=1)"
2558,2026-01-02T01:13:36.752431,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.3,,,"DAD MÁXIMA !"""
